Team,Conf,Act W %,Pyth,Pyth Rank,Adj O,Rk,Adj D,Rk,Opp Adj O,Rk,Opp Adj D,Rk,Opp Pyth,Opp Pyth Rank,Avg FP,% of Avail Yards,Yrds / Poss,1st Downs / Poss,% of Poss in RZ,Yards / Point,Opp Avg FP,Opp % of Avail Yards,Opp Yrds / Poss,Opp 1st Downs / Poss,Opp % of Poss in RZ,Opp Yards / Point,Comp %,Pass Yards / Att,Pass Yards / Gm,Passer Rating,Pass Att / Sack,Pass TDs / Gm,Opp Comp %,Opp Pass Yards / Att,Opp Pass Yards / Gm,Opp Passer Rating,Opp Pass Att / Sack,Opp Pass TDs / Gm,% of Plays as Rush,% of Yards from Rush,Rush Att / Gm,Rush Yards / Gm,Rush Yards / Att,Rush TDs / Gm,Opp % of Plays as Rush,Opp % of Yards from Rush,Opp Rush Att / Gm,Opp Rush Yards / Gm,Opp Rush Yards / Att,Opp Rush TDs / Gm,% of Poss w/ 20+ Yard TD,FG %,% of Poss w/ Pts,Poss w/ TDs,Pts / Poss,Pts / Gm,Opp % of Poss w/ 20+ Yard TD,Opp FG %,Opp % of Poss w/ Pts,Opp Poss w/ TDs,Opp Pts / Poss,Opp Pts / Gm,Poss / Gm,Plays / Gm,Plays / Poss,Plays / Min,Avg TOP (min),Avg Drive Time (min),Opp Poss / Gm,Opp Plays / Gm,Opp Plays / Poss,Opp Plays / Min,Opp Avg TOP (min),Opp Avg Drive Time (min),Off % of Passes w/ INT,Off % of Plays w/ TO,Off % of Poss w/ TOs,Def % of Passes w/ INT,Def % of Plays w/ TO,Def % of Poss w/ TOs,Def-Off Poss TO % Margin
Air Force,MWC,0.3636,0.3444,78,2.16,66,2.84,88,2.24,61,2.59,87,0.4144,78,71.04,47.86,34,1.67,40.94,13.91,67.93,52.57,35.71,1.77,38.84,13.51,59.02,9.16,170.73,148.76,15.64,1.27,65.74,8.66,255,149.2,25.92,1.45,74.15,59.08,53.45,246.55,4.61,2.55,57.7,40.5,40.18,173.55,4.32,2.55,5.93,62.5,38.52,31.11,2.44,30,8.33,78.95,44.7,33.33,2.64,31.73,12.27,72.09,5.87,2.37,30.46,2.48,12,69.64,5.8,2.36,30.46,2.46,4.88,3.03,17.78,2.78,2.22,12.88,-4.9
Akron,MAC,0.5385,0.2627,89,1.58,101,2.45,57,1.99,107,2.55,75,0.3583,98,69.06,39.75,27.45,1.28,27.06,16.27,67.98,35.32,24.01,1.14,25.43,13.89,52.5,6.66,277,118.61,26.16,1.85,58.63,6.44,180.85,125.17,12.97,1.38,43.82,27.92,32.46,107.31,3.31,0.92,59.13,46.79,40.62,159,3.91,1.46,6.59,70,27.47,19.78,1.69,23.62,5.98,68.18,28.26,20.11,1.73,24.46,14,74.08,5.29,2.46,30.06,2.15,14.15,68.69,4.85,2.29,30.06,2.12,2.22,2.28,12.09,1.92,1.68,8.15,-3.94
Alabama,SEC,0.8333,0.7997,6,2.24,57,1.25,1,2.18,72,2.09,8,0.523,40,69.7,41.47,28.91,1.38,30.22,16.38,70.95,29.15,20.68,1.02,19.44,23.91,59.54,7.4,216.42,134.46,10.49,1.33,49.72,5.48,160.75,97.94,14.04,0.75,56.88,39.7,38.58,142.5,3.69,1,50.63,36.98,30.08,94.33,3.14,0.42,6.71,62.96,30.2,18.79,1.77,21.92,2.7,44.44,14.86,9.46,0.86,10.67,12.42,67.83,5.46,2.06,32.93,2.65,12.33,59.42,4.82,2.19,32.93,2.19,1.14,1.47,8.05,3.13,2.81,13.51,5.46
Arizona,Pac 12,0.2727,0.3985,73,2.01,72,2.4,54,2.77,5,2.55,79,0.5487,24,71.84,36.84,26.47,1.28,25.18,15.33,72.59,42.73,31.01,1.44,27.01,15.51,57.34,6.85,229.27,123.25,18.52,1.73,58.65,7.26,225.09,125.19,15.21,1.18,50.93,34.73,34.73,122,3.51,1,56.34,44.94,40,183.73,4.59,1.64,4.79,63.64,25.34,20.55,1.73,22.91,5.52,78.57,28.97,21.38,2,26.36,13.27,68.18,5.14,2.32,29.39,2.21,13.18,71,5.39,2.32,29.39,2.32,4.35,3.73,19.18,3.52,2.43,13.1,-6.07
Arizona State,Pac 12,0.5833,0.6103,28,3.14,10,2.6,76,2.52,13,2.6,93,0.4805,56,70.1,54.52,38.21,1.8,37.67,14.09,72.47,47.91,34.72,1.57,32.43,15.67,63.29,9.09,373.42,160.61,14.69,3.17,59.56,8.4,289,141.07,20.67,1.75,47.55,28.06,37.25,145.67,3.91,1.5,54.42,38.35,41.08,179.75,4.38,1.67,10.43,81.82,39.88,34.36,2.71,36.83,8.64,69.57,35.19,25.31,2.22,29.92,13.58,78.33,5.77,2.63,29.83,2.2,13.5,75.5,5.59,2.5,29.83,2.23,2.23,2.13,12.27,2.91,2.98,16.67,4.4
Arkansas,SEC,0.3636,0.4646,56,2.19,64,2.32,49,2.4,32,2.03,3,0.5981,5,66.63,42.83,28.54,1.4,31.78,14.02,70.69,36.44,25.76,1.21,30.15,13.88,53.57,5.65,143.73,107.75,13.44,1.18,50.89,6.85,209.36,120.97,11.67,1.82,63.21,60.15,43.73,216.91,4.96,1.73,54.53,38.77,36.64,132.55,3.62,1.18,7.19,72.22,32.37,23.02,2.04,25.73,6.85,75,30.82,22.6,1.86,24.64,12.64,69.18,5.47,2.36,29.34,2.32,13.27,67.18,5.06,2.19,29.34,2.31,4.29,2.89,15.83,3.57,2.84,14.38,-1.44
Arkansas State,Sun Belt,0.5,0.3241,83,1.85,85,2.52,68,1.7,119,2.71,110,0.2484,119,68.17,42.58,29.03,1.35,27.86,15.11,67.66,41.73,28.24,1.37,29.8,15,54.18,7.1,176.92,121.48,11.87,1.08,56.93,6.78,191.67,122.8,13.56,1.42,61.67,52.2,40.08,193.17,4.82,1.75,60.94,49.41,44.08,187.17,4.25,1.83,8.5,59.09,30.72,22.22,1.92,24.5,6.21,73.33,31.06,24.22,1.88,25.25,12.75,65,5.1,2.33,27.94,2.19,13.42,72.33,5.39,2.26,27.94,2.39,3.34,2.69,13.73,3.83,3,16.15,2.42
Army,Indy,0.3636,0.3386,80,1.77,91,2.35,51,2.18,70,2.26,34,0.4792,58,67.58,36.21,24.47,1.33,24.06,15.8,68.35,41.01,28.03,1.43,30.71,12.97,55.77,6.19,175.64,109.8,15.86,1,63.82,6.29,173.91,119.64,24.38,0.91,60.2,44.4,42.91,140.27,3.27,1.45,58.58,49.82,39.09,172.64,4.42,2.18,6.34,55.56,26.06,19.01,1.55,20,6.62,71.43,32.35,25,2.16,26.73,12.91,71.27,5.52,2.24,31.76,2.46,12.36,66.73,5.4,2.36,31.76,2.28,4.81,2.55,14.08,3.95,2.45,13.24,-0.85
Auburn,SEC,0.75,0.7732,9,2.83,16,1.69,10,2.16,75,2.17,19,0.4969,50,67.79,51.82,35.13,1.76,40.16,12.74,72.58,35.22,25.56,1.2,23.94,20.34,57.52,7.64,215.75,135.45,16.77,1.58,56.11,6.63,199,114.72,10.35,0.67,58.66,47.36,40.08,194.08,4.84,2.33,52.38,36.88,33,116.25,3.52,0.92,9.29,60,42.14,33.57,2.76,32.17,4.05,65.22,22.97,12.84,1.26,15.5,11.67,68.33,5.86,2.22,30.81,2.64,12.33,63,5.11,2.16,30.81,2.37,2.36,2.2,12.86,2.22,1.98,10.14,-2.72
BYU,Indy,0.5,0.4763,52,2.64,30,2.75,83,2.31,47,2.4,56,0.4779,59,68.64,51.82,35.57,1.81,41.22,14.01,71.11,46.61,33.15,1.57,28.68,14.26,64.34,7.21,310.08,137.14,22.5,2.25,63.02,7.86,269.33,144.77,18.87,2.08,44.75,32.94,34.83,152.33,4.37,2,50.54,35.42,35,147.75,4.22,1.5,5.13,73.68,41.67,32.69,2.54,33,9.93,66.67,35.1,28.48,2.32,29.25,13,77.83,5.99,2.4,32.46,2.5,12.58,69.25,5.5,2.51,32.46,2.19,2.52,2.14,12.82,2.19,2.65,14.57,1.75
